Страница или кластер;Что было;Что предлагается;Тип изменения;Причина;Влияние на текущий URL;Необходимость редиректа;SEO-риск;Приоритет
/web-studiya/lidogeneratsiya/turkestan;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Туркестан;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/podderzhka-saytov/turkestan;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Туркестан;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/digital-konsalting/turkestan;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Туркестан;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/uralsk;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/sozdanie-saitov-v-uralske;Страница отсутствовала в старой SEO-карте;Создание сайтов: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/dizayn/uralsk;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/seo-prodvizhenie-sajtov-v-uralske;Страница отсутствовала в старой SEO-карте;SEO-продвижение: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/uralsk;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/kontekstnaya-reklama/uralsk;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/lidogeneratsiya/uralsk;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/podderzhka-saytov/uralsk;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/digital-konsalting/uralsk;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Уральск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/ust-kamenogorsk;Страница отсутствовала в старой SEO-карте;Веб-студия: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/sozdanie-saitov-v-ust-kamenogorske;Страница отсутствовала в старой SEO-карте;Создание сайтов: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/dizayn/ust-kamenogorsk;Страница отсутствовала в старой SEO-карте;Услуги дизайнера: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/seo-prodvizhenie-sajtov-v-ust-kamenogorske;Страница отсутствовала в старой SEO-карте;SEO-продвижение: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P2
/web-studiya/aeo-geo-prodvizhenie/ust-kamenogorsk;Страница отсутствовала в старой SEO-карте;AEO/GEO-продвижение: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/kontekstnaya-reklama/ust-kamenogorsk;Страница отсутствовала в старой SEO-карте;Контекстная реклама: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/lidogeneratsiya/ust-kamenogorsk;Страница отсутствовала в старой SEO-карте;Лидогенерация: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/podderzhka-saytov/ust-kamenogorsk;Страница отсутствовала в старой SEO-карте;Поддержка сайтов: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
/web-studiya/digital-konsalting/ust-kamenogorsk;Страница отсутствовала в старой SEO-карте;Digital-консалтинг: отдельная региональная страница для города Усть-Каменогорск;NEW;Новое требование: основные услуги веб-студии должны покрывать 18 основных городов Казахстана.;"Текущие страницы не меняются; новая страница дополняет региональную архитектуру.";Нет;"Средний: нельзя публиковать шаблонный дубль с одной заменой города; требуется локальная ценность.";P3
