Кластер;Название кластера;Основной запрос;Дополнительные запросы;Интент;Доступная частотность (макс. запрос, Planner);Сумма частотностей Planner (справочно);GSC клики;GSC показы;Количество уникальных запросов;Существующая страница;Итоговая страница;Решение;Риск каннибализации;Комментарий;Уверенность
ppc_geo_turkestan;Контекстная реклама в Туркестане;контекстная реклама туркестан;"настройка google ads туркестан; яндекс директ туркестан; реклама сайта туркестан";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/turkestan;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_turkestan;Лидогенерация в Туркестане;лидогенерация туркестан;"генерация лидов туркестан; лидогенерация для бизнеса туркестан; заказать лидогенерацию туркестан";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/turkestan;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_turkestan;Поддержка сайтов в Туркестане;поддержка сайтов туркестан;"техническая поддержка сайта туркестан; обслуживание сайтов туркестан; сопровождение сайта туркестан";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/turkestan;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_turkestan;Digital-консалтинг в Туркестане;digital консалтинг туркестан;"интернет маркетинг консалтинг туркестан; digital стратегия туркестан; аудит интернет маркетинга туркестан";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/turkestan;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_uralsk;Веб-студия в Уральске;веб студия уральск;"услуги веб студии уральск; digital агентство уральск; интернет агентство уральск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/uralsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_geo_uralsk;Создание сайтов в Уральске;создание сайтов уральск;"разработка сайтов уральск; заказать сайт уральск; создание сайта под ключ уральск";Коммерческий геозависимый;;0;0;0;4;;/sozdanie-saitov-v-uralske;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_uralsk;Услуги дизайнера в Уральске;услуги дизайнера уральск;"веб дизайн уральск; дизайн сайта уральск; брендинг уральск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/uralsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
seo_geo_uralsk;SEO-продвижение сайтов в Уральске;seo продвижение уральск;"продвижение сайтов уральск; раскрутка сайта уральск; seo оптимизация уральск";Коммерческий геозависимый;;0;0;0;4;;/seo-prodvizhenie-sajtov-v-uralske;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_uralsk;AEO/GEO-продвижение в Уральске;продвижение в ии поиске уральск;"aeo продвижение уральск; geo продвижение уральск; оптимизация сайта под ии уральск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/uralsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_uralsk;Контекстная реклама в Уральске;контекстная реклама уральск;"настройка google ads уральск; яндекс директ уральск; реклама сайта уральск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/uralsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_uralsk;Лидогенерация в Уральске;лидогенерация уральск;"генерация лидов уральск; лидогенерация для бизнеса уральск; заказать лидогенерацию уральск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/uralsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_uralsk;Поддержка сайтов в Уральске;поддержка сайтов уральск;"техническая поддержка сайта уральск; обслуживание сайтов уральск; сопровождение сайта уральск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/uralsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_uralsk;Digital-консалтинг в Уральске;digital консалтинг уральск;"интернет маркетинг консалтинг уральск; digital стратегия уральск; аудит интернет маркетинга уральск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/uralsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
webstudio_geo_ust_kamenogorsk;Веб-студия в Усть-Каменогорске;веб студия усть-каменогорск;"услуги веб студии усть-каменогорск; digital агентство усть-каменогорск; интернет агентство усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/ust-kamenogorsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_geo_ust_kamenogorsk;Создание сайтов в Усть-Каменогорске;создание сайтов усть-каменогорск;"разработка сайтов усть-каменогорск; заказать сайт усть-каменогорск; создание сайта под ключ усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/sozdanie-saitov-v-ust-kamenogorske;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
design_geo_ust_kamenogorsk;Услуги дизайнера в Усть-Каменогорске;услуги дизайнера усть-каменогорск;"веб дизайн усть-каменогорск; дизайн сайта усть-каменогорск; брендинг усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/dizayn/ust-kamenogorsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
seo_geo_ust_kamenogorsk;SEO-продвижение сайтов в Усть-Каменогорске;seo продвижение усть-каменогорск;"продвижение сайтов усть-каменогорск; раскрутка сайта усть-каменогорск; seo оптимизация усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/seo-prodvizhenie-sajtov-v-ust-kamenogorske;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
aeo_geo_ust_kamenogorsk;AEO/GEO-продвижение в Усть-Каменогорске;продвижение в ии поиске усть-каменогорск;"aeo продвижение усть-каменогорск; geo продвижение усть-каменогорск; оптимизация сайта под ии усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/aeo-geo-prodvizhenie/ust-kamenogorsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
ppc_geo_ust_kamenogorsk;Контекстная реклама в Усть-Каменогорске;контекстная реклама усть-каменогорск;"настройка google ads усть-каменогорск; яндекс директ усть-каменогорск; реклама сайта усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/kontekstnaya-reklama/ust-kamenogorsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
leadgen_geo_ust_kamenogorsk;Лидогенерация в Усть-Каменогорске;лидогенерация усть-каменогорск;"генерация лидов усть-каменогорск; лидогенерация для бизнеса усть-каменогорск; заказать лидогенерацию усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/lidogeneratsiya/ust-kamenogorsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
site_support_geo_ust_kamenogorsk;Поддержка сайтов в Усть-Каменогорске;поддержка сайтов усть-каменогорск;"техническая поддержка сайта усть-каменогорск; обслуживание сайтов усть-каменогорск; сопровождение сайта усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/podderzhka-saytov/ust-kamenogorsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
digital_consulting_geo_ust_kamenogorsk;Digital-консалтинг в Усть-Каменогорске;digital консалтинг усть-каменогорск;"интернет маркетинг консалтинг усть-каменогорск; digital стратегия усть-каменогорск; аудит интернет маркетинга усть-каменогорск";Коммерческий геозависимый;;0;0;0;4;;/web-studiya/digital-konsalting/ust-kamenogorsk;NEW;Средний;Развести с национальной услугой и другими городами через уникальный локальный интент, кейсы и внутреннюю перелинковку. Частотность не подтверждена.;Средняя
